# Fuente: PVGIS v5.2 (Photovoltaic Geographical Information System) - Comision Europea, JRC
# Producto: TMY (Typical Meteorological Year), serie horaria (8760 h)
# Endpoint: https://re.jrc.ec.europa.eu/api/v5_2/tmy?lat=4.70&lon=-74.15&outputformat=csv
# Ubicacion: Bogota (Aeropuerto El Dorado, aprox.) - Lat 4.700 N, Lon -74.150, Elev 2547 m
# Nota: cada mes del TMY proviene de un anio real distinto (ver tabla "month,year" mas abajo).
# Descargado: 2026-07-23
# Zona horaria de time(UTC): UTC. Bogota = UTC-5 (sin horario de verano).
# Columnas clave: G(h)=GHI [W/m2], Gb(n)=DNI [W/m2], Gd(h)=DHI [W/m2], T2m=temp aire [C].
# Original de PVGIS sin modificar salvo este encabezado. Regenerar: ver docs/09-validacion.md.
#
Latitude (decimal degrees): 4.700
Longitude (decimal degrees): -74.150
Elevation (m): 2547.0
Irradiance Time Offset (h): 0.0
month,year
1,2010
2,2010
3,2015
4,2008
5,2006
6,2009
7,2013
8,2006
9,2012
10,2007
11,2014
12,2012
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20100101:0000,12.83,70.04,0.0,-0.0,0.0,315.84,0.99,40.0,74510.0
20100101:0100,11.84,74.32,0.0,-0.0,0.0,310.38,1.0,72.0,74569.0
20100101:0200,10.86,78.61,0.0,-0.0,0.0,304.93,1.02,73.0,74627.0
20100101:0300,9.88,82.89,0.0,-0.0,0.0,299.48,1.03,78.0,74664.0
20100101:0400,8.9,87.17,0.0,-0.0,0.0,294.03,1.05,83.0,74664.0
20100101:0500,7.92,91.45,0.0,-0.0,0.0,288.57,1.07,87.0,74649.0
20100101:0600,6.94,95.73,0.0,-0.0,0.0,283.12,1.08,87.0,74591.0
20100101:0700,5.96,100.0,0.0,-0.0,0.0,277.67,1.1,92.0,74525.0
20100101:0800,6.8,82.8,0.0,-0.0,0.0,285.2,1.52,91.0,74503.0
20100101:0900,6.5,82.45,0.0,-0.0,0.0,285.4,1.59,90.0,74488.0
20100101:1000,6.18,82.8,0.0,-0.0,0.0,285.0,1.66,90.0,74510.0
20100101:1100,5.92,83.6,0.0,-0.0,0.0,283.6,1.66,89.0,74547.0
20100101:1200,6.93,83.85,175.0,589.24,54.0,284.2,1.38,88.0,74605.0
20100101:1300,11.33,69.25,436.0,841.53,77.0,282.6,0.97,95.0,74627.0
20100101:1400,14.28,47.15,675.0,947.13,91.0,291.6,0.48,104.0,74605.0
20100101:1500,16.23,38.85,861.0,999.48,99.0,300.0,0.07,297.0,74539.0
20100101:1600,17.73,35.65,980.0,1025.7,104.0,297.4,0.55,299.0,74466.0
20100101:1700,18.62,35.9,1020.0,1033.52,105.0,302.0,1.1,296.0,74371.0
20100101:1800,18.89,40.65,979.0,1024.5,104.0,306.6,1.45,294.0,74261.0
20100101:1900,18.69,46.2,860.0,999.42,98.0,317.4,1.24,282.0,74180.0
20100101:2000,18.1,51.5,675.0,950.26,89.0,316.2,1.52,278.0,74158.0
20100101:2100,16.78,60.35,440.0,855.42,75.0,314.0,1.45,272.0,74188.0
20100101:2200,15.69,65.5,185.0,676.57,46.0,314.0,1.17,277.0,74268.0
20100101:2300,14.09,74.75,0.0,-0.0,0.0,311.4,0.69,272.0,74327.0
20100102:0000,12.48,84.1,0.0,-0.0,0.0,297.6,0.14,305.0,74393.0
20100102:0100,10.71,93.35,0.0,-0.0,0.0,295.4,0.62,75.0,74444.0
20100102:0200,9.59,93.8,0.0,-0.0,0.0,290.2,0.97,81.0,74495.0
20100102:0300,8.71,93.55,0.0,-0.0,0.0,289.2,1.1,81.0,74510.0
20100102:0400,7.97,92.4,0.0,-0.0,0.0,283.8,1.17,82.0,74503.0
20100102:0500,7.41,90.8,0.0,-0.0,0.0,286.0,1.17,81.0,74473.0
20100102:0600,7.2,89.35,0.0,-0.0,0.0,293.4,1.1,82.0,74437.0
20100102:0700,6.75,88.3,0.0,-0.0,0.0,286.8,1.1,85.0,74385.0
20100102:0800,6.51,87.15,0.0,-0.0,0.0,288.8,1.24,83.0,74371.0
20100102:0900,6.55,84.9,0.0,-0.0,0.0,295.6,1.24,87.0,74371.0
20100102:1000,6.08,84.0,0.0,-0.0,0.0,277.8,1.38,89.0,74429.0
20100102:1100,6.09,82.4,0.0,-0.0,0.0,288.0,1.45,90.0,74481.0
20100102:1200,7.06,82.55,176.0,593.47,55.0,283.0,1.17,91.0,74517.0
20100102:1300,11.07,71.35,439.0,848.5,78.0,308.4,0.69,100.0,74525.0
20100102:1400,13.65,55.1,678.0,953.14,91.0,308.8,0.21,233.0,74503.0
20100102:1500,15.41,51.45,865.0,1003.78,100.0,314.0,0.83,261.0,74422.0
20100102:1600,17.06,50.85,983.0,1028.96,104.0,307.8,1.1,267.0,74378.0
20100102:1700,17.94,50.15,1023.0,1034.97,106.0,316.6,0.76,260.0,74283.0
20100102:1800,18.53,48.65,981.0,1025.48,104.0,321.2,0.9,267.0,74173.0
20100102:1900,19.01,46.8,862.0,998.75,99.0,331.8,0.97,264.0,74063.0
20100102:2000,18.2,53.05,677.0,949.13,90.0,335.0,1.31,275.0,74019.0
20100102:2100,17.06,60.6,442.0,856.19,75.0,336.8,1.24,276.0,74041.0
20100102:2200,15.61,68.9,187.0,679.72,46.0,327.2,0.97,273.0,74129.0
20100102:2300,14.09,78.15,0.0,-0.0,0.0,322.6,0.48,278.0,74202.0
20100103:0000,12.72,86.95,0.0,-0.0,0.0,315.6,0.14,32.0,74246.0
20100103:0100,11.42,93.05,0.0,-0.0,0.0,310.2,0.69,83.0,74290.0
20100103:0200,10.57,94.65,0.0,-0.0,0.0,311.4,0.97,87.0,74334.0
20100103:0300,9.75,94.95,0.0,-0.0,0.0,303.0,1.1,85.0,74363.0
20100103:0400,9.19,94.35,0.0,-0.0,0.0,309.6,1.17,85.0,74356.0
20100103:0500,8.57,95.05,0.0,-0.0,0.0,321.4,1.17,89.0,74349.0
20100103:0600,8.14,94.85,0.0,-0.0,0.0,322.6,1.24,91.0,74305.0
20100103:0700,8.23,92.45,0.0,-0.0,0.0,314.6,1.17,91.0,74261.0
20100103:0800,7.62,93.55,0.0,-0.0,0.0,330.8,1.31,91.0,74210.0
20100103:0900,7.05,92.95,0.0,-0.0,0.0,320.2,1.38,93.0,74217.0
20100103:1000,6.82,89.5,0.0,-0.0,0.0,315.8,1.45,93.0,74268.0
20100103:1100,6.13,89.25,0.0,-0.0,0.0,333.2,1.52,94.0,74327.0
20100103:1200,6.84,84.6,175.0,592.71,55.0,311.8,1.45,95.0,74378.0
20100103:1300,10.76,68.5,440.0,853.05,78.0,328.0,1.24,103.0,74422.0
20100103:1400,13.86,52.15,680.0,957.46,91.0,317.4,0.9,123.0,74422.0
20100103:1500,16.13,39.9,868.0,1008.01,100.0,305.6,0.55,197.0,74349.0
20100103:1600,17.81,36.05,986.0,1030.98,105.0,309.8,0.55,224.0,74268.0
20100103:1700,18.63,34.2,1026.0,1037.48,106.0,313.6,0.55,250.0,74188.0
20100103:1800,19.49,33.1,985.0,1028.73,104.0,313.4,0.69,274.0,74092.0
20100103:1900,19.05,41.25,867.0,1003.26,99.0,323.2,1.03,277.0,74004.0
20100103:2000,18.75,47.05,682.0,954.41,90.0,313.4,1.1,296.0,73953.0
20100103:2100,17.84,54.25,447.0,863.88,75.0,317.0,0.97,300.0,73953.0
20100103:2200,16.47,62.15,190.0,682.79,47.0,312.8,0.69,300.0,74056.0
20100103:2300,14.64,74.35,0.0,-0.0,0.0,306.8,0.28,306.0,74129.0
20100104:0000,12.88,84.1,0.0,-0.0,0.0,302.4,0.62,84.0,74195.0
20100104:0100,11.43,86.15,0.0,-0.0,0.0,304.4,0.97,93.0,74276.0
20100104:0200,10.44,85.65,0.0,-0.0,0.0,302.8,1.17,93.0,74319.0
20100104:0300,9.76,83.6,0.0,-0.0,0.0,305.0,1.24,89.0,74356.0
20100104:0400,9.36,80.35,0.0,-0.0,0.0,311.4,1.24,84.0,74363.0
20100104:0500,8.96,77.55,0.0,-0.0,0.0,310.0,1.31,85.0,74363.0
20100104:0600,8.73,75.05,0.0,-0.0,0.0,315.2,1.31,95.0,74327.0
20100104:0700,8.56,71.05,0.0,-0.0,0.0,310.4,1.38,95.0,74283.0
20100104:0800,8.38,69.3,0.0,-0.0,0.0,315.4,1.45,96.0,74268.0
20100104:0900,8.29,66.95,0.0,-0.0,0.0,316.4,1.45,98.0,74290.0
20100104:1000,8.03,65.85,0.0,-0.0,0.0,309.6,1.52,96.0,74341.0
20100104:1100,7.81,67.15,0.0,-0.0,0.0,310.6,1.52,95.0,74400.0
20100104:1200,8.4,70.95,170.0,576.9,54.0,306.0,1.31,95.0,74451.0
20100104:1300,11.6,62.05,430.0,833.91,77.0,302.8,1.03,100.0,74488.0
20100104:1400,14.77,44.25,668.0,938.91,91.0,304.2,0.62,142.0,74473.0
20100104:1500,16.53,36.7,855.0,992.47,99.0,308.6,0.48,198.0,74393.0
20100104:1600,17.78,34.05,972.0,1015.37,104.0,314.8,0.34,212.0,74312.0
20100104:1700,19.25,31.0,1012.0,1021.89,105.0,310.4,0.28,266.0,74232.0
20100104:1800,19.84,30.1,972.0,1012.09,104.0,310.6,0.76,307.0,74129.0
20100104:1900,19.67,32.55,855.0,985.53,99.0,309.6,1.1,295.0,74063.0
20100104:2000,18.84,40.9,672.0,935.5,90.0,311.0,1.31,303.0,74056.0
20100104:2100,17.43,50.5,440.0,843.73,75.0,306.6,1.1,300.0,74085.0
20100104:2200,16.14,57.1,188.0,666.87,47.0,305.4,0.83,291.0,74195.0
20100104:2300,14.31,67.15,0.0,-0.0,0.0,299.2,0.48,285.0,74290.0
20100105:0000,12.83,74.15,0.0,-0.0,0.0,296.0,0.21,57.0,74363.0
20100105:0100,11.08,81.5,0.0,-0.0,0.0,296.8,0.9,82.0,74451.0
20100105:0200,9.96,82.4,0.0,-0.0,0.0,295.0,1.1,83.0,74495.0
20100105:0300,9.06,81.85,0.0,-0.0,0.0,290.8,1.17,86.0,74532.0
20100105:0400,8.64,79.05,0.0,-0.0,0.0,298.0,1.24,86.0,74517.0
20100105:0500,8.15,75.0,0.0,-0.0,0.0,292.8,1.38,88.0,74510.0
20100105:0600,8.11,70.05,0.0,-0.0,0.0,308.6,1.38,93.0,74473.0
20100105:0700,8.03,66.5,0.0,-0.0,0.0,300.6,1.38,92.0,74451.0
20100105:0800,7.67,64.95,0.0,-0.0,0.0,304.8,1.38,91.0,74444.0
20100105:0900,7.21,64.0,0.0,-0.0,0.0,297.4,1.45,90.0,74473.0
20100105:1000,7.11,62.35,0.0,-0.0,0.0,306.8,1.45,92.0,74503.0
20100105:1100,6.72,62.9,0.0,-0.0,0.0,293.4,1.66,94.0,74569.0
20100105:1200,7.31,66.75,166.0,565.78,53.0,291.0,1.45,96.0,74649.0
20100105:1300,11.51,58.9,423.0,819.31,77.0,292.8,1.03,98.0,74686.0
20100105:1400,14.52,42.8,660.0,928.4,90.0,304.6,0.62,127.0,74649.0
20100105:1500,16.58,37.3,846.0,980.79,99.0,309.2,0.34,152.0,74569.0
20100105:1600,17.91,36.0,964.0,1005.56,104.0,319.0,0.28,273.0,74503.0
20100105:1700,18.82,35.95,1005.0,1013.03,105.0,322.8,0.83,305.0,74437.0
20100105:1800,18.76,39.75,966.0,1003.59,104.0,330.6,1.31,308.0,74349.0
20100105:1900,18.39,45.65,526.0,143.09,416.0,334.8,1.03,301.0,74268.0
20100105:2000,18.08,46.7,414.0,158.65,315.0,333.8,0.97,316.0,74224.0
20100105:2100,17.17,53.8,439.0,837.54,75.0,339.2,1.24,310.0,74224.0
20100105:2200,15.9,62.8,112.0,107.76,89.0,322.4,1.17,294.0,74319.0
20100105:2300,14.4,72.2,0.0,-0.0,0.0,325.6,0.83,279.0,74407.0
20100106:0000,12.92,81.35,0.0,-0.0,0.0,310.8,0.28,296.0,74451.0
20100106:0100,11.58,91.0,0.0,-0.0,0.0,308.6,0.55,65.0,74525.0
20100106:0200,10.64,92.35,0.0,-0.0,0.0,309.8,0.83,75.0,74569.0
20100106:0300,10.07,92.2,0.0,-0.0,0.0,314.8,0.97,83.0,74620.0
20100106:0400,9.54,91.7,0.0,-0.0,0.0,313.8,1.03,90.0,74605.0
20100106:0500,9.17,90.65,0.0,-0.0,0.0,313.6,1.1,91.0,74598.0
20100106:0600,9.03,89.15,0.0,-0.0,0.0,319.2,1.1,90.0,74576.0
20100106:0700,9.3,84.9,0.0,-0.0,0.0,336.8,0.83,94.0,74532.0
20100106:0800,8.91,85.1,0.0,-0.0,0.0,319.8,1.03,93.0,74503.0
20100106:0900,8.83,84.35,0.0,-0.0,0.0,325.4,1.1,90.0,74503.0
20100106:1000,8.8,83.85,0.0,-0.0,0.0,330.2,1.1,88.0,74539.0
20100106:1100,8.49,85.1,0.0,-0.0,0.0,320.4,1.17,86.0,74583.0
20100106:1200,8.97,85.15,161.0,549.34,52.0,312.0,1.1,85.0,74635.0
20100106:1300,12.08,72.1,415.0,804.55,76.0,313.0,0.9,93.0,74671.0
20100106:1400,14.44,56.25,648.0,909.62,90.0,321.4,0.62,105.0,74627.0
20100106:1500,16.38,48.15,833.0,965.1,98.0,319.4,0.0,135.0,74554.0
20100106:1600,17.82,44.2,950.0,989.85,103.0,318.2,0.55,293.0,74444.0
20100106:1700,18.94,43.1,991.0,996.24,105.0,327.8,0.97,298.0,74319.0
20100106:1800,19.84,39.6,603.0,140.66,482.0,322.8,0.69,300.0,74239.0
20100106:1900,18.74,48.0,838.0,960.54,98.0,335.6,1.24,299.0,74180.0
20100106:2000,17.74,54.15,252.0,20.77,239.0,348.0,1.66,304.0,74180.0
20100106:2100,16.74,60.7,253.0,116.81,202.0,333.2,1.52,293.0,74180.0
20100106:2200,15.84,66.4,93.0,23.21,88.0,330.0,1.1,278.0,74283.0
20100106:2300,14.39,74.2,0.0,-0.0,0.0,317.4,0.69,261.0,74334.0
20100107:0000,13.11,81.15,0.0,-0.0,0.0,323.8,0.28,260.0,74400.0
20100107:0100,12.35,89.75,0.0,-0.0,0.0,331.05,0.34,60.0,74473.0
20100107:0200,11.35,92.0,0.0,-0.0,0.0,320.4,0.62,74.0,74547.0
20100107:0300,10.92,93.15,0.0,-0.0,0.0,327.4,0.69,83.0,74576.0
20100107:0400,10.76,92.65,0.0,-0.0,0.0,333.2,0.76,89.0,74598.0
20100107:0500,10.11,94.25,0.0,-0.0,0.0,317.4,0.97,89.0,74583.0
20100107:0600,10.32,92.05,0.0,-0.0,0.0,342.2,0.9,90.0,74547.0
20100107:0700,9.79,90.6,0.0,-0.0,0.0,325.0,0.9,90.0,74488.0
20100107:0800,9.67,90.15,0.0,-0.0,0.0,326.4,1.03,92.0,74444.0
20100107:0900,9.46,90.3,0.0,-0.0,0.0,323.2,1.1,93.0,74437.0
20100107:1000,9.47,89.85,0.0,-0.0,0.0,333.2,1.17,98.0,74437.0
20100107:1100,9.52,89.6,0.0,-0.0,0.0,337.6,1.17,93.0,74473.0
20100107:1200,10.02,89.6,12.0,0.0,12.0,328.2,1.1,95.0,74525.0
20100107:1300,12.39,80.65,155.0,14.27,149.0,340.8,1.1,111.0,74554.0
20100107:1400,14.88,65.45,643.0,903.79,89.0,340.8,0.83,140.0,74569.0
20100107:1500,16.92,54.65,828.0,958.52,98.0,356.8,1.1,117.0,74510.0
20100107:1600,18.79,47.25,947.0,985.77,103.0,337.8,0.62,108.0,74422.0
20100107:1700,19.45,45.15,602.0,116.81,498.0,356.4,0.48,29.0,74305.0
20100107:1800,19.27,46.95,953.0,986.51,103.0,349.8,0.9,346.0,74202.0
20100107:1900,19.7,43.95,840.0,961.01,98.0,355.8,0.76,16.0,74085.0
20100107:2000,19.06,48.65,220.0,12.74,212.0,350.2,1.24,358.0,74026.0
20100107:2100,17.67,57.05,434.0,818.42,75.0,353.6,1.38,346.0,74034.0
20100107:2200,16.46,65.05,187.0,639.22,48.0,348.4,1.03,346.0,74144.0
20100107:2300,15.05,74.45,0.0,-0.0,0.0,337.4,0.41,342.0,74217.0
20100108:0000,13.86,81.7,0.0,-0.0,0.0,336.0,0.41,82.0,74312.0
20100108:0100,12.72,87.25,0.0,-0.0,0.0,325.65,0.97,92.0,74371.0
20100108:0200,12.27,88.1,0.0,-0.0,0.0,338.4,1.1,91.0,74437.0
20100108:0300,11.98,88.25,0.0,-0.0,0.0,343.6,1.17,94.0,74437.0
20100108:0400,11.96,87.25,0.0,-0.0,0.0,355.2,1.17,90.0,74459.0
20100108:0500,11.72,87.15,0.0,-0.0,0.0,349.2,1.1,98.0,74466.0
20100108:0600,11.58,86.75,0.0,-0.0,0.0,353.0,1.03,97.0,74407.0
20100108:0700,11.28,87.35,0.0,-0.0,0.0,349.8,0.97,104.0,74385.0
20100108:0800,10.85,87.85,0.0,-0.0,0.0,336.2,1.1,98.0,74363.0
20100108:0900,10.95,86.1,0.0,-0.0,0.0,353.8,1.03,98.0,74371.0
20100108:1000,10.94,84.75,0.0,-0.0,0.0,356.2,1.1,98.0,74407.0
20100108:1100,10.8,84.55,0.0,-0.0,0.0,351.2,1.1,99.0,74466.0
20100108:1200,11.15,83.45,77.0,30.62,71.0,358.2,1.24,104.0,74525.0
20100108:1300,12.44,75.1,409.0,793.61,76.0,330.4,1.45,113.0,74539.0
20100108:1400,14.47,63.2,642.0,901.13,90.0,343.6,1.31,127.0,74510.0
20100108:1500,16.29,53.3,483.0,102.41,405.0,354.2,1.52,130.0,74422.0
20100108:1600,18.03,45.1,356.0,24.51,335.0,346.2,1.66,134.0,74297.0
20100108:1700,19.25,40.1,176.0,12.34,165.0,367.4,0.48,153.0,74195.0
20100108:1800,19.61,40.6,733.0,305.89,469.0,357.2,0.76,326.0,74070.0
20100108:1900,20.29,37.1,440.0,80.12,378.0,364.4,0.69,331.0,74034.0
20100108:2000,18.93,47.3,76.0,0.0,76.0,356.8,1.59,328.0,74041.0
20100108:2100,17.51,55.2,437.0,821.43,75.0,348.8,1.31,333.0,74070.0
20100108:2200,16.2,64.0,189.0,637.94,49.0,352.6,0.83,322.0,74166.0
20100108:2300,15.05,71.85,0.0,-0.0,0.0,346.2,0.34,325.0,74217.0
20100109:0000,13.75,80.25,0.0,-0.0,0.0,327.6,0.48,71.0,74305.0
20100109:0100,12.92,84.05,0.0,-0.0,0.0,331.65,0.9,82.0,74378.0
20100109:0200,12.34,85.7,0.0,-0.0,0.0,336.2,0.9,85.0,74429.0
20100109:0300,12.06,85.7,0.0,-0.0,0.0,343.8,0.9,85.0,74466.0
20100109:0400,12.0,85.05,0.0,-0.0,0.0,353.0,0.97,86.0,74481.0
20100109:0500,11.89,84.75,0.0,-0.0,0.0,354.0,0.97,84.0,74466.0
20100109:0600,11.73,84.8,0.0,-0.0,0.0,354.4,0.83,90.0,74422.0
